Job Outlook for JB,Est.,Pipeline,Estimating Status,Bid Due Date,Project Name,Owner,Architect,Pipeline Probability,Approx. Start Date,# of Months,Approx. Cost,Approx. Finish,Project City,Project State,Market Type,Notes/Description,BD/PM/AM,ITB Date,Lead Estimator,Estimator,Est. Asst.,PX/PM,Estimate Type,RFI Due Date,Schedule,Factored $,Factored $ per month,Duration,2025 % Complete,Days in 2025,$ in 2025,Days in 2026,$ in 2026,Days in 2027,$ in 2027,Notes for JB Outlook
,TRUE,TRUE,5.5 Active Precon/DB,Pending,Sportex 1415 W 3rd St - TI - Phase 1/2/3,Sportex Safety,,100%,11/01/25,6,"$6,745,321",05/01/26,Tempe,Arizona,Office TI,"77,000 SF Office TI",Mike,,TS,TS,AL,,Neg.,,,"$6,745,321","$1,124,220",182,33%,60,"$2,223,732",122,"4,521,589",0,$0,
,TRUE,,6 Post Pending,10/24/25,Arrowhead Springs Hotel Renovation,San Maneul,,1%,01/14/25,2,"$284,661",03/14/25,Highland,California,Hospitality,Renovate 17.5K SF of a 1920's Hotel,Joe,,AT,AT,AT,,Con.,,,"$2,847","$1,423",60,100%,60,"$2,847",0,0,0,$0,
,TRUE,TRUE,5.5 Active Precon/DB,Pending,Santa Ana Star Casino,Tamaya Enterprises,,2%,09/01/26,12,$0,09/01/27,Santa Ana,New Mexico,Entertainment,"(6) Theaters, 4K Arcade, Concessions Etc.",Brian,,-,-,-,,Con.,,,$0,$0,366,0%,0,$0,123,0,243,$0,
TRUE,TRUE,TRUE,5.5 Active Precon/DB,11/03/25,Jefferson House,City of Peoria,Nelsen Partners,100%,10/06/25,8,"$6,581,678",06/06/26,Peoria,Arizona,Restaurant,"10k SF, Retail, Restaurant, Bar Under Cover",Melinda/Brian,,KS,KS,AL,,Con.,Pendign,N/A,"$6,581,678","$822,710",244,35%,86,"$2,319,772",158,"4,261,906",0,$0,
TRUE,TRUE,TRUE,5.5 Active Precon/DB,10/31/25,Live Nation - Office TI & White Box,Crown Development,,50%,11/04/25,6,"$1,794,080",05/04/26,Phoenix,Arizona,Office TI,"6.6K SF BTS, 4.6K White Shell",Adam,,TS,TS,MB,,Neg.,N/A,Duration,"$897,040","$149,507",182,31%,57,"$280,941",125,"616,099",0,$0,
TRUE,TRUE,TRUE,5.5 Active Precon/DB,Pending,Arcadia Motor Club,GO Industrial,,75%,03/02/26,8,"$6,989,652",11/02/26,Phoenix,Arizona,Industrial,Motor Club/Toy Barn,Mike,,KS,KS,AT,,Neg.,,,"$5,242,239","$655,280",246,0%,0,$0,246,"5,242,239",0,$0,
TRUE,TRUE,TRUE,5.5 Active Precon/DB,11/26/25,Ak-Chin Administration Building,Ak-Chin Indian Community,RSP Architects,100%,01/01/26,16,"$37,345,628",05/01/27,Maricopa,Arizona,Office,49K SF Admin/Council Chambers Building,Brian,,PS,PS,AL,,Con.,07/09/24,,"$37,345,628","$2,334,102",486,0%,0,$0,366,"28,124,485",120,"$9,221,143",
TRUE,TRUE,TRUE,5.5 Active Precon/DB,Pending,Fort Mojave Indian Tribe - Distribution Center / Market,FMIT,BCA Architects,15%,08/01/26,10,"$10,000,000",06/01/27,Fort Mojave,Arizona,"Grocery
Native",Convenient Store,Melinda/Brian,,BR,BR,N/A,,Con.,,,"$1,500,000","$150,000",305,0%,0,$0,154,"757,377",151,"$742,623",
TRUE,TRUE,TRUE,5.5 Active Precon/DB,Pending,Fort Mojave Indian Tribe - Senior Center,FMIT,"Mittelstaedt
Cooper &
Associates Ltd.",50%,04/01/26,9,"$8,075,124",01/01/27,Fort Mojave,Arizona,Hospitality,Senior Center,Melinda/Brian,,CH,CH,N/A,,Con.,,,"$4,037,562","$448,618",276,0%,0,$0,276,"4,037,562",0,$0,
,TRUE,,5.5 Active Precon/DB,Pending,Hilton Family Holocaust Education Center,AZJHS - Steve Hilton,Deutsch Architecture Group,100%,08/11/25,14,$0,10/11/26,Phoenix,Arizona,Entertainment,"36,000 SF Expansion to Existing",Adam,,PS,PS/NR,MB,,RFP/GMP,,Full,$0,$0,427,33%,142,$0,285,0,0,$0,
TRUE,TRUE,TRUE,5.5 Active Precon/DB,10/22/25,Ak-Chin Medical Suites,Ak-Chin Indian Community,SPS+ Architects,100%,11/10/25,8,"$8,493,382",07/10/26,Maricopa,Arizona,Native,Ground up 16K SF single story office building/Site Work,Brian,N/A,TS,TS,MB,,D/B,N/A,NA,"$8,493,382","$1,061,673",243,21%,51,"$1,782,562",192,"6,710,820",0,$0,
TRUE,TRUE,TRUE,5.5 Active Precon/DB,Pending,AZ CC Outpost,Arizona Country Club,,75%,06/08/26,5,"$5,986,311",11/08/26,Phoenix,Arizona,Clubhouse,"Interior Finish Refresh, Reimagine Rest/Bar",Joe,,NR,NR,Lisa,,RFP,,,"$4,489,733","$897,947",154,0%,0,$0,154,"4,489,733",0,$0,
TRUE,TRUE,TRUE,5.5 Active Precon/DB,11/04/25,Fort Mojave Indian Tribe - Casino,FMIT - DLR,DLR Group,50%,01/05/26,14,"$21,574,625",03/05/27,Fort Mojavie,Arizona,Native,"36,000SF New Casino plus sitework",Melinda/Brian,,PS/AT,AT,AL,,Con.,,,"$10,787,313","$770,522",425,0%,0,$0,362,"9,188,252",63,"$1,599,060",
,TRUE,,6 Post Pending,10/24/25,Santan Village - Aubergine/Zara,Kensington Development,,1%,02/01/26,5,"$1,477,105",07/01/26,Gilbert,,,"8,500SF Retail Box, Site Work",Brian,,KS,KS,N/A,,Con.,,,"$14,771","$2,954",151,0%,0,$0,151,"14,771",0,$0,
,TRUE,TRUE,6 Post Pending,10/20/25,AK-Chin FEC Repairs,Ak-Chin,,50%,12/01/25,1,"$170,730",01/01/26,Maricopa,Arizona,Site,"FEC erosion, waterproofing, storm drain repairs",Brian,,AT,AT,N/A,,Neg.,,,"$85,365","$85,365",32,94%,30,"$80,030",2,"5,335",0,$0,
,TRUE,TRUE,6 Post Pending,09/17/25,Ashley Furniture Distribution Center - Avondale,HMC,,10%,11/15/25,15,"$43,867,810",02/15/27,Avondale,Arizona,Industrial,(1) 473K SF Distribution Center/Sales  & Site - Phased,Melinda,N/A,CH,CH,NT,NR,HB-2,N/A,NA,"$4,386,781","$292,452",458,10%,46,"$440,594",367,"3,515,172",45,"$431,016",
